subject,WTP
3001,110.2906
3004,53.24584
3008,-12.24304
3009,18.95871
3010,-38.24112
3011,231.6216
3014,-11.1118
3015,1.988409
4003,42.09366
4006,-52.29665
4010,30.66004
4011,64.69272
4013,35.47636
4016,33.89125
4022,-30.10866
4024,-3.645311
11006,18.95871
11008,18.95871
11009,18.95871
11010,18.95871
11012,18.95871
11016,18.95871
11022,18.95871
11032,18.95871
11034,18.95871
12001,18.64817
12002,-28.96107
12014,-3.264072
12029,-5.806942
12036,38.95507
12037,113.0632
12041,-65.10823
12054,49.42637
13001,-68.74826
13003,29.63428
13004,78.03345
13007,26.48628
13010,109.0168
13012,33.82146
13013,58.53081
13019,-33.54229
15005,15.36872
15012,13.40568
15016,4.755961
15023,45.24219
15024,-8.600809
15026,3.763027
15027,76.70783
15030,18.95871
23003,20.55245
23007,46.44488
23016,22.04048
23027,118.0872
23031,25.86189
23035,18.95871
23036,65.05957
23039,62.67054
27001,35.03545
27003,50.37569
27006,-51.93332
27009,-19.9338
27011,26.58521
27029,-26.31434
27030,-98.28612
27039,90.51817
31001,18.95871
31002,18.95871
31003,18.95871
31004,-34.66608
31005,18.95871
31009,258.128
31012,-3.389195
31014,18.95871
36002,26.92439
36011,-43.26593
36013,-.7201424
36018,5.693993
36021,-5.803741
36040,-24.3972
36046,34.22373
36053,39.25076
38001,18.95871
38002,18.95871
38003,18.95871
38005,18.95871
38006,18.95871
38007,18.95871
38010,18.95871
38013,18.95871
39004,34.03264
39006,40.72054
39007,134.6852
39011,18.95871
39012,-21.89249
39013,47.00093
39018,76.04722
39023,33.24581
40001,18.95871
40003,18.95871
40004,18.95871
40005,18.95871
40006,18.95871
40008,18.95871
40009,18.95871
40011,18.95871
42001,93.24824
42007,128.2718
42008,82.54478
42010,52.50822
42011,20.51423
42012,18.95871
42013,-8.486677
42018,8.59585
42025,39.13259
44003,-4.267804
44006,20.16887
44007,-8.61799
44008,-101.9781
44013,-39.14123
44019,54.60588
44027,-61.38297
44028,-51.02326
45001,18.95871
45002,18.95871
45009,18.95871
45010,18.95871
45011,18.95871
45012,-19.8174
45016,33.59739
45019,11.17419
51002,18.95871
51006,18.95871
51009,18.95871
51011,18.95871
51022,18.95871
51027,18.95871
51030,18.95871
57001,18.95871
57003,18.95871
57004,18.95871
57005,18.95871
57006,18.95871
57007,18.95871
57008,18.95871
57009,18.95871
57010,18.95871
66001,18.95871
66002,18.95871
66003,18.95871
66004,18.95871
66006,18.95871
66009,18.95871
66010,18.95871
74003,-2.478414
74007,35.57861
74008,-.3050935
74013,-49.1674
74015,-42.99371
74016,-222.9456
74019,-58.62636
74026,72.91413
95002,20.69819
95003,43.10497
95008,-9.729165
95020,-19.25374
95025,29.59184
95028,44.93877
95030,8.44923
95032,27.0442
98006,2.975264
98008,29.25782
98009,208.5793
98010,14.93425
98011,57.54729
98017,.1972896
98018,49.08289
98026,29.9974
99002,17.48006
99003,51.49106
99004,-17.4284
