subject,WTP
3001,44.57468
3004,27.42505
3008,-9.894146
3009,45.05058
3010,57.22505
3011,47.11507
3014,10.34377
3015,55.45415
4003,-1.002685
4006,179.982
4010,10.86765
4011,98.63096
4013,-1.334358
4016,10.13183
4022,-13.73063
4024,-7.57329
11006,45.05058
11008,45.05058
11009,45.05058
11010,45.05058
11012,45.05058
11016,45.05058
11022,45.05058
11032,45.05058
11034,45.05058
12001,-28.89529
12002,51.09248
12014,-17.50853
12029,36.76582
12036,42.87236
12037,57.83991
12041,14.12243
12054,17.38498
13001,-54.12122
13003,3.439092
13004,16.79026
13007,-19.10136
13010,7.490861
13012,-29.60621
13013,107.0992
13019,36.57866
15005,-33.39967
15012,34.46283
15016,16.74131
15023,416.4819
15024,38.62777
15026,-6.725009
15027,14.58126
15030,45.05058
23003,-6.351891
23007,63.64065
23016,-3.856699
23027,-54.90508
23031,77.21832
23035,45.05058
23036,-35.92485
23039,16.21428
27001,-35.40039
27003,8.534262
27006,61.15361
27009,-29.96435
27011,.4676741
27029,33.09903
27030,34.83425
27039,-12.69604
31001,45.05058
31002,45.05058
31003,45.05058
31004,81.10892
31005,45.05058
31009,33.89583
31012,-12.67327
31014,45.05058
36002,8.418309
36011,25.33979
36013,56.6611
36018,-47.09602
36021,37.8938
36040,13.71707
36046,16.82755
36053,437.247
38001,45.05058
38002,45.05058
38003,45.05058
38005,45.05058
38006,45.05058
38007,45.05058
38010,45.05058
38013,45.05058
39004,58.61427
39006,35.2318
39007,18.42503
39011,45.05058
39012,54.86148
39013,19.88519
39018,265.42
39023,10.15162
40001,45.05058
40003,45.05058
40004,45.05058
40005,45.05058
40006,45.05058
40008,45.05058
40009,45.05058
40011,45.05058
42001,43.65862
42007,123.0103
42008,-34.49789
42010,7.900359
42011,-8.897518
42012,45.05058
42013,63.83723
42018,-33.76592
42025,34.85554
44003,-3.7524
44006,-44.10798
44007,20.78866
44008,22.68544
44013,-8.194459
44019,40.96246
44027,-93.43694
44028,3.602323
45001,45.05058
45002,45.05058
45009,45.05058
45010,45.05058
45011,45.05058
45012,9.594308
45016,17.2297
45019,-9.568593
51002,45.05058
51006,45.05058
51009,45.05058
51011,45.05058
51022,45.05058
51027,45.05058
51030,45.05058
57001,45.05058
57003,45.05058
57004,45.05058
57005,45.05058
57006,45.05058
57007,45.05058
57008,45.05058
57009,45.05058
57010,45.05058
66001,45.05058
66002,45.05058
66003,45.05058
66004,45.05058
66006,45.05058
66009,45.05058
66010,45.05058
74003,-3.50668
74007,-2.760654
74008,32.37566
74013,53.10343
74015,60.99229
74016,43.64985
74019,-6.374437
74026,21.08116
95002,-11.99111
95003,-19.40664
95008,36.19022
95020,3.534177
95025,33.31281
95028,37.14858
95030,-9.749162
95032,22.6625
98006,-9.326251
98008,57.20483
98009,-2.769469
98010,-20.95734
98011,10.24302
98017,4.517634
98018,-18.96161
98026,73.80798
99002,-46.13775
99003,12.62518
99004,15.23649
99007,45.26753
99009,28.19459
99011,14.17785
99012,3.417554
99013,-29.22814
100001,23.76944
100003,45.05058
100006,83.1207
100007,30.21291
100011,6.348856
100016,32.79848
100017,44.05654
102002,45.05058
102003,45.05058
102005,45.05058
102007,45.05058
102013,45.05058
102016,45.05058
102017,45.05058
102018,45.05058
103002,32.71376
103003,12.75045
103007,25.94393
103010,87.01075
103012,35.87543
103013,57.47759
103016,42.64375
103022,-15.64664
109001,45.05058
109005,45.05058
109006,45.05058
109007,45.05058
109011,45.05058
109014,45.05058
109018,45.05058
109025,45.05058
111001,45.05058
111002,45.05058
111004,45.05058
111006,45.05058
111009,45.05058
111011,45.05058
111012,45.05058
111016,45.05058
112006,-50.76374
112009,45.05058
112012,75.418
112016,-200.489
112030,45.05058
112031,45.05058
112037,-21.21153
112040,-25.17298
114002,45.05058
114003,45.05058
114006,45.05058
114007,45.05058
114010,45.05058
114012,45.05058
114015,45.05058
114016,45.05058
117003,45.05058
117009,45.05058
117012,45.05058
117015,45.05058
117020,45.05058
117026,45.05058
117028,45.05058
117029,45.05058
121004,45.05058
121007,45.05058
121008,45.05058
121009,45.05058
121013,45.05058
121018,45.05058
121021,45.05058
122001,45.05058
122003,45.05058
122009,45.05058
