subject,WTP
3001,-21.79892
3004,79.91568
3008,-9.764781
3009,45.49247
3010,1.948616
3011,64.50645
3014,13.85139
3015,-16.1659
4003,54.41416
4006,-27.96914
4010,-2.025802
4011,32.50889
4013,94.36959
4016,36.41763
4022,6.338471
4024,24.6229
11006,45.49247
11008,45.49247
11009,45.49247
11010,45.49247
11012,45.49247
11016,45.49247
11022,45.49247
11032,45.49247
11034,45.49247
12001,-22.43039
12002,87.96161
12014,44.3437
12029,-4.023798
12036,-32.00415
12037,10.83217
12041,-2.348518
12054,-41.63458
13001,8.275277
13003,-8.994986
13004,35.89419
13007,250.7592
13010,-27.84165
13012,9.343492
13013,14.17174
13019,37.3508
15005,-2.565097
15012,-17.46291
15016,180.7462
15023,-37.02514
15024,17.44716
15026,28.63525
15027,18.42238
15030,45.49247
23003,26.26332
23007,-17.45452
23016,11.79746
23027,36.00619
23031,93.64657
23035,45.49247
23036,-37.69494
23039,36.02652
27001,130.7284
27003,8.503432
27006,3.951596
27009,168.0817
27011,59.1657
27029,18.89729
27030,-14.2644
27039,55.67038
31001,45.49247
31002,45.49247
31003,45.49247
31004,59.55006
31005,45.49247
31009,152.4572
31012,76.93427
31014,45.49247
36002,42.76377
36011,9.23957
36013,-16.6291
36018,28.21804
36021,20.85104
36040,32.59814
36046,35.11879
36053,3.104154
38001,45.49247
38002,45.49247
38003,45.49247
38005,45.49247
38006,45.49247
38007,45.49247
38010,45.49247
38013,45.49247
39004,160.272
39006,17.08639
39007,47.9002
39011,45.49247
39012,18.32662
39013,-2.208551
39018,23.76237
39023,-10.95503
40001,45.49247
40003,45.49247
40004,45.49247
40005,45.49247
40006,45.49247
40008,45.49247
40009,45.49247
40011,45.49247
42001,41.14949
42007,-23.86559
42008,63.46519
42010,25.77827
42011,47.70014
42012,45.49247
42013,-19.76786
42018,37.8393
42025,.56151
44003,-13.77699
44006,1.700752
44007,-72.13692
44008,-9.333899
44013,-26.06403
44019,-32.1919
44027,34.58619
44028,58.05481
45001,45.49247
45002,45.49247
45009,45.49247
45010,45.49247
45011,45.49247
45012,39.29747
45016,12.03478
45019,49.30035
51002,45.49247
51006,45.49247
51009,45.49247
51011,45.49247
51022,45.49247
51027,45.49247
51030,45.49247
57001,45.49247
57003,45.49247
57004,45.49247
57005,45.49247
57006,45.49247
57007,45.49247
57008,45.49247
57009,45.49247
57010,45.49247
66001,45.49247
66002,45.49247
66003,45.49247
66004,45.49247
66006,45.49247
66009,45.49247
66010,45.49247
74003,-11.69604
74007,121.1372
74008,-24.66513
74013,41.85492
74015,-14.29161
74016,-17.26655
74019,-39.28025
74026,7.329576
95002,-14.39042
95003,-80.5923
95008,7.656209
95020,118.8571
95025,.1666698
95028,46.54644
95030,-22.09951
95032,57.80054
98006,59.30866
98008,62.08888
98009,9.869217
98010,34.38531
98011,-24.91731
98017,-55.26828
98018,-15.9123
98026,58.63557
99002,-31.96917
99003,23.76998
99004,-10.22369
99007,13.70463
99009,-80.90096
99011,19.3677
99012,-104.109
99013,9.666824
100001,22.17844
100003,45.49247
100006,-8.11611
100007,93.49238
100011,24.59494
100016,-22.52081
100017,40.43181
102002,45.49247
102003,45.49247
