subject,WTP
3001,-21.59282
3004,138.3579
3008,24.03736
3009,-26.11319
3010,-10.06517
3011,171.9189
3014,-81.75718
3015,23.33234
4003,10.3267
4006,-4.520589
4010,1.742265
4011,13.01272
4013,6.405635
4016,-14.68323
4022,4.337248
4024,14.23713
11006,-26.11319
11008,-26.11319
11009,-26.11319
11010,-26.11319
11012,-26.11319
11016,-26.11319
11022,-26.11319
11032,-26.11319
11034,-26.11319
12001,-9.052101
12002,-4.703001
12014,-52.49091
12029,-17.19328
12036,43.33013
12037,9.565789
12041,22.66794
12054,-41.83361
13001,23.94085
13003,-30.2952
13004,7.878922
13007,76.45258
13010,-39.26166
13012,52.37098
13013,-5.370979
13019,4.8118
15005,147.7491
15012,28.70979
15016,-51.80379
15023,60.69603
15024,-6.537524
15026,45.28869
15027,1.064824
15030,-26.11319
23003,26.15957
23007,25.65094
23016,5.851992
23027,33.89808
23031,-11.58054
23035,-26.11319
23036,-.7395726
23039,13.50898
27001,-11.19956
27003,32.182
27006,1.876451
27009,51.40903
27011,9.802769
27029,-9.462695
27030,46.48245
27039,37.62228
31001,-26.11319
31002,-26.11319
31003,-26.11319
31004,6.612307
31005,-26.11319
31009,-9.249493
31012,-13.17831
31014,-26.11319
36002,-4.293837
36011,75.70642
36013,109.9587
36018,51.23354
36021,9.122894
36040,53.59774
36046,18.13053
36053,49.394
38001,-26.11319
38002,-26.11319
38003,-26.11319
38005,-26.11319
38006,-26.11319
38007,-26.11319
38010,-26.11319
38013,-26.11319
39004,-3.249465
39006,14.99482
39007,-35.82719
39011,-26.11319
39012,-6.538483
39013,57.80787
39018,27.29685
39023,-43.45605
40001,-26.11319
40003,-26.11319
40004,-26.11319
40005,-26.11319
40006,-26.11319
40008,-26.11319
40009,-26.11319
40011,-26.11319
42001,15.30317
42007,32.92078
42008,177.0051
42010,2.065665
42011,19.60367
42012,-26.11319
42013,21.93077
42018,-4.080392
42025,-4.03928
44003,30.08321
44006,42.5802
44007,-2.18482
44008,31.78405
44013,.862763
44019,17.81268
44027,1.374291
44028,65.2783
45001,-26.11319
45002,-26.11319
45009,-26.11319
45010,-26.11319
45011,-26.11319
45012,31.21851
45016,41.43525
45019,-3.538836
51002,-26.11319
51006,-26.11319
51009,-26.11319
51011,-26.11319
51022,-26.11319
51027,-26.11319
51030,-26.11319
