subject,PTE
3001,.0221983
3004,-.0349907
3008,.0031337
3009,-.0520101
3010,-.0685203
3011,-.0324397
3014,-.0313574
3015,.0167168
4003,-.0520098
4006,-.0703505
4010,.0832927
4011,-.0670709
4013,.0156008
4016,-.1332118
4022,-.0572454
4024,.0091052
11006,-.0520101
11008,-.0520101
11009,-.0520101
11010,-.0520101
11012,-.0520101
11016,-.0520101
11022,-.0520101
11032,-.0520101
11034,-.0520101
12001,-.0735397
12002,-.0544814
12014,-.0135963
12029,-.0492218
12036,-.082537
12037,-.0841028
12041,-.0558738
12054,-.0056486
13001,-.0196667
13003,-.0241003
13004,-.0712213
13007,-.0195448
13010,-.0436702
13012,-.035375
13013,-.0493426
13019,-.0622167
15005,.0095092
15012,-.0299089
15016,.066037
15023,-.0559951
15024,-.0729228
15026,-.0369903
15027,-.0602573
15030,-.0520101
23003,-.0323582
23007,-.0917272
23016,-.0681307
23027,-.0603946
23031,-.0533653
23035,-.0520101
23036,-.0074565
23039,-.0820742
27001,-.0386603
27003,-.0311585
27006,.0188919
27009,-.0643881
27011,.0295241
27029,.0781369
27030,-.0365681
27039,-.017632
31001,-.0520101
31002,-.0520101
31003,-.0520101
31004,-.0733939
31005,-.0520101
31009,-.1028396
31012,-.0700065
31014,-.0520101
36002,-.1165122
36011,-.0391947
36013,-.047128
36018,-.0053776
36021,-.069561
36040,-.0256809
36046,-.0988199
36053,-.0592363
38001,-.0520101
38002,-.0520101
38003,-.0520101
38005,-.0520101
38006,-.0520101
38007,-.0520101
38010,-.0520101
38013,-.0520101
39004,-.1149027
39006,-.0504044
39007,-.0227466
39011,-.0520101
39012,-.0418702
39013,-.0695225
39018,-.0879339
39023,-.066279
40001,-.0520101
40003,-.0520101
40004,-.0520101
40005,-.0520101
40006,-.0520101
40008,-.0520101
40009,-.0520101
40011,-.0520101
42001,-.0549766
42007,-.1306355
42008,-.0388696
42010,.0147238
42011,-.0740547
42012,-.0520101
42013,-.052216
42018,-.0494877
42025,-.0392945
44003,.0255894
44006,.0052829
44007,-.0450367
44008,.0088719
44013,-.0142115
44019,-.0926721
44027,-.0094864
44028,-.0113235
45001,-.0520101
45002,-.0520101
45009,-.0520101
45010,-.0520101
45011,-.0520101
45012,-.0544812
45016,-.1132301
45019,-.0389921
51002,-.0520101
51006,-.0520101
51009,-.0520101
51011,-.0520101
51022,-.0520101
51027,-.0520101
51030,-.0520101
57001,-.0520101
57003,-.0520101
57004,-.0520101
57005,-.0520101
57006,-.0520101
57007,-.0520101
57008,-.0520101
57009,-.0520101
57010,-.0520101
66001,-.0520101
66002,-.0520101
66003,-.0520101
66004,-.0520101
66006,-.0520101
66009,-.0520101
66010,-.0520101
74003,-.0274058
74007,.047902
74008,-.1110886
74013,-.0856718
74015,-.0425351
74016,-.0158943
74019,-.0677808
74026,-.0229436
95002,-.0168572
95003,.009188
95008,-.0309482
95020,-.0374665
95025,-.0904555
95028,-.1152311
95030,-.054678
95032,-.0752583
98006,-.018166
98008,.0220448
98009,-.0187314
98010,-.0897468
98011,-.0527382
98017,-.086503
98018,-.0292666
98026,-.1120348
99002,-.1679701
99003,-.0627893
99004,-.0032235
99007,-.0191148
99009,-.0864734
99011,-.0083955
99012,-.0751604
99013,-.0576561
100001,-.071476
100003,-.0520101
100006,-.06728
100007,-.0673932
100011,-.0336263
100016,-.0397903
100017,-.0264929
102002,-.0520101
102003,-.0520101
102005,-.0520101
102007,-.0520101
102013,-.0520101
102016,-.0520101
102017,-.0520101
102018,-.0520101
103002,-.0311876
103003,-.0577859
103007,-.0322777
103010,-.0546271
103012,-.032184
103013,.0171937
103016,-.0566854
103022,-.0849085
109001,-.0520101
109005,-.0520101
109006,-.0520101
109007,-.0520101
109011,-.0520101
109014,-.0520101
109018,-.0520101
109025,-.0520101
111001,-.0520101
111002,-.0520101
111004,-.0520101
111006,-.0520101
111009,-.0520101
111011,-.0520101
111012,-.0520101
111016,-.0520101
112006,-.0404036
112009,-.0520101
112012,-.0343964
112016,-.0842348
112030,-.0520101
112031,-.0520101
112037,-.0257144
112040,-.0665039
114002,-.0520101
114003,-.0520101
114006,-.0520101
114007,-.0520101
114010,-.0520101
114012,-.0520101
114015,-.0520101
114016,-.0520101
117003,-.0520101
117009,-.0520101
117012,-.0520101
117015,-.0520101
117020,-.0520101
117026,-.0520101
117028,-.0520101
117029,-.0520101
121004,-.0520101
121007,-.0520101
121008,-.0520101
121009,-.0520101
121013,-.0520101
121018,-.0520101
121021,-.0520101
122001,-.0520101
122003,-.0520101
122009,-.0520101
122012,-.0520101
122018,-.0520101
122021,-.0520101
122027,-.0520101
122031,-.0520101
123001,-.0703244
123005,-.0392375
123006,-.0047557
123008,-.0896875
123015,-.078148
123025,-.0447173
