subject,WTP
3001,-2.686118
3004,-14.36312
3008,31.71295
3009,82.7561
3010,84.57652
3011,37.62745
3014,-13.32916
3015,48.51756
4003,98.09483
4006,-5.519907
4010,-104.0561
4011,35.38331
4013,-5.120831
4016,175.6656
4022,.4411913
4024,13.53596
11006,82.7561
11008,82.7561
11009,82.7561
11010,82.7561
11012,82.7561
11016,82.7561
11022,82.7561
11032,82.7561
11034,82.7561
12001,32.83822
12002,74.47893
12014,26.57587
12029,-59.52659
12036,45.26488
12037,93.17856
12041,48.43847
12054,19.22448
13001,16.17331
13003,-71.64851
13004,62.37078
13007,12.52607
13010,67.75814
13012,93.51537
13013,53.27501
13019,-3.837139
15005,-6.281628
15012,53.90024
15016,-7.862634
15023,96.88098
15024,19.22519
15026,-13.89764
15027,-98.68645
15030,82.7561
23003,87.37303
23007,49.80662
23016,29.30895
23027,62.65096
23031,12.62535
23035,82.7561
23036,-5.783161
23039,.0805849
27001,3.965597
27003,190.769
27006,2.521832
27009,.6976018
27011,36.4485
27029,-6.597908
27030,395.4245
27039,-30.8127
31001,82.7561
31002,82.7561
31003,82.7561
31004,112.1203
31005,82.7561
31009,15.15811
31012,24.0053
31014,82.7561
36002,46.56989
36011,34.72863
36013,-38.564
36018,51.59541
36021,47.05081
36040,70.60143
36046,17.20399
36053,38.0131
38001,82.7561
38002,82.7561
38003,82.7561
38005,82.7561
38006,82.7561
38007,82.7561
38010,82.7561
38013,82.7561
39004,22.95813
39006,-5.929764
39007,30.60765
39011,82.7561
39012,-17.55869
39013,47.72409
39018,1.289642
39023,43.21854
40001,82.7561
40003,82.7561
40004,82.7561
40005,82.7561
40006,82.7561
40008,82.7561
40009,82.7561
40011,82.7561
42001,140.8992
42007,-14.09676
42008,-10.55017
42010,-26.63592
42011,13.09379
42012,82.7561
42013,-89.31741
42018,41.60524
42025,77.06489
44003,60.55713
44006,-54.50941
44007,42.19101
44008,31.87995
44013,10.66502
44019,38.08581
44027,22.18058
44028,32.20967
45001,82.7561
45002,82.7561
45009,82.7561
45010,82.7561
45011,82.7561
45012,24.32608
45016,68.48962
45019,-37.36589
51002,82.7561
51006,82.7561
51009,82.7561
51011,82.7561
51022,82.7561
51027,82.7561
51030,82.7561
57001,82.7561
57003,82.7561
57004,82.7561
57005,82.7561
57006,82.7561
57007,82.7561
57008,82.7561
57009,82.7561
57010,82.7561
66001,82.7561
66002,82.7561
66003,82.7561
66004,82.7561
66006,82.7561
66009,82.7561
66010,82.7561
74003,-30.04903
74007,28.25032
74008,61.38182
74013,19.13064
74015,38.29339
74016,-8.087242
74019,-82.76542
74026,27.26257
95002,64.1851
95003,-34.06336
95008,26.96959
95020,16.57172
95025,99.97591
95028,2.48608
95030,5.183935
95032,56.76723
98006,-13.66552
98008,24.26247
98009,75.59198
98010,133.7847
98011,-74.98091
98017,-8.248981
98018,-31.33856
98026,-10.41731
99002,-.3037844
99003,14.79851
99004,-11.01729
99007,8.875213
99009,27.0811
99011,26.33185
99012,29.34109
99013,-18.22467
100001,21.8457
100003,82.7561
100006,-9.415026
100007,7.988616
100011,71.78613
100016,71.92803
100017,5.31383
102002,82.7561
102003,82.7561
102005,82.7561
102007,82.7561
