subject,PTE
3001,-.0207353
3004,-.0330667
3008,-.0622957
3009,-.0574439
3010,-.0276661
3011,-.0703341
3014,-.0163359
3015,.0117229
4003,.0043196
4006,.0204003
4010,-.0943284
4011,-.0434445
4013,.0239725
4016,-.1207732
4022,.0260411
4024,-.0562394
11006,-.0574439
11008,-.0574439
11009,-.0574439
11010,-.0574439
11012,-.0574439
11016,-.0574439
11022,-.0574439
11032,-.0574439
11034,-.0574439
12001,-.0679015
12002,-.0368868
12014,-.0137061
12029,-.0214461
12036,-.0508714
12037,-.0174697
12041,-.0279631
12054,-.0343236
13001,-.0107651
13003,-.0843754
13004,-.0676558
13007,.0485612
13010,.0024408
13012,-.0277326
13013,-.0542576
13019,-.0362163
15005,.095064
15012,-.0374331
15016,-.0128799
15023,-.067252
15024,-.0392014
15026,-.0361238
15027,-.0740792
15030,-.0574439
23003,-.0433654
23007,-.1673531
23016,-.0205008
23027,-.0302457
23031,-.0713342
23035,-.0574439
23036,-.0498612
23039,-.0131192
27001,-.0641431
27003,-.0475474
27006,.0197487
27009,-.0187234
27011,-.0840121
27029,.0440024
27030,-.0513263
27039,-.0571883
31001,-.0574439
31002,-.0574439
31003,-.0574439
31004,-.0938042
31005,-.0574439
31009,-.0987525
31012,-.0744662
31014,-.0574439
36002,-.0740835
36011,-.01371
36013,-.0723914
36018,-.0409306
36021,-.0209684
36040,-.0878051
36046,-.041371
36053,-.0503
38001,-.0574439
38002,-.0574439
38003,-.0574439
38005,-.0574439
38006,-.0574439
38007,-.0574439
38010,-.0574439
38013,-.0574439
39004,-.0211292
39006,-.0305264
39007,-.043582
39011,-.0574439
39012,-.0595891
39013,-.0265523
39018,-.0241907
39023,-.0405506
40001,-.0574439
40003,-.0574439
40004,-.0574439
40005,-.0574439
40006,-.0574439
40008,-.0574439
40009,-.0574439
40011,-.0574439
42001,-.0921124
42007,-.0808951
42008,-.0529513
42010,.0151891
42011,-.0411848
42012,-.0574439
42013,-.0510914
42018,-.0799865
42025,-.0609636
44003,-.0629646
44006,-.0597366
44007,.0355173
44008,-.0190913
44013,-.0019292
44019,.0666079
44027,-.043965
44028,-.014369
45001,-.0574439
45002,-.0574439
45009,-.0574439
45010,-.0574439
45011,-.0574439
45012,-.0114374
45016,-.0530686
45019,-.0656779
51002,-.0574439
51006,-.0574439
51009,-.0574439
51011,-.0574439
51022,-.0574439
51027,-.0574439
51030,-.0574439
57001,-.0574439
57003,-.0574439
57004,-.0574439
57005,-.0574439
57006,-.0574439
57007,-.0574439
57008,-.0574439
57009,-.0574439
57010,-.0574439
66001,-.0574439
66002,-.0574439
66003,-.0574439
66004,-.0574439
66006,-.0574439
66009,-.0574439
66010,-.0574439
74003,-.1249585
74007,-.0666041
74008,-.046499
