subject,PTE
3001,-.0483954
3004,-.0348354
3008,.0715993
3009,-.0573167
3010,-.08228
3011,-.0627814
3014,-.0629835
3015,-.0775512
4003,-.0548009
4006,.0947428
4010,-.0301812
4011,-.0263918
4013,-.0701237
4016,-.0481449
4022,.02246
4024,-.0957592
11006,-.0573167
11008,-.0573167
11009,-.0573167
11010,-.0573167
11012,-.0573167
11016,-.0573167
11022,-.0573167
11032,-.0573167
11034,-.0573167
12001,-.02402
12002,-.0223388
12014,-.0199579
12029,-.0267897
12036,-.1068089
12037,-.0684605
12041,-.0591037
12054,-.0141055
13001,.0492192
13003,-.1632807
13004,-.0156212
13007,-.055877
13010,-.0051522
13012,-.0300685
13013,-.0006734
13019,-.0123937
15005,.0007485
15012,-.0881083
15016,-.043805
15023,-.1178682
15024,-.0617221
15026,.034864
15027,.0560312
15030,-.0573167
23003,-.0422296
23007,-.0919348
23016,-.027783
23027,-.0696166
23031,-.1297976
23035,-.0573167
23036,-.0641416
23039,-.0295958
27001,-.0329222
27003,-.0259558
27006,-.0503833
27009,.0250822
27011,-.0540378
27029,.0376589
27030,-.0216721
27039,-.0769498
31001,-.0573167
31002,-.0573167
31003,-.0573167
31004,-.109664
31005,-.0573167
31009,-.0761007
31012,-.0920324
31014,-.0573167
36002,-.1009999
36011,-.0627549
36013,-.0301877
36018,-.0474775
36021,.0213762
36040,-.0594703
36046,-.0458723
36053,-.0993734
38001,-.0573167
38002,-.0573167
38003,-.0573167
38005,-.0573167
38006,-.0573167
38007,-.0573167
38010,-.0573167
38013,-.0573167
39004,.0376676
39006,-.0210014
39007,-.0738004
39011,-.0573167
39012,-.0781228
39013,-.0694878
39018,-.0589898
39023,-.0215461
40001,-.0573167
40003,-.0573167
40004,-.0573167
40005,-.0573167
40006,-.0573167
40008,-.0573167
40009,-.0573167
40011,-.0573167
42001,-.0646131
42007,-.0667666
42008,-.0512606
42010,-.0416498
42011,-.0331121
42012,-.0573167
42013,-.0745853
42018,-.0170765
42025,-.0625875
44003,-.036047
44006,-.0493525
44007,-.0550382
44008,.0125711
44013,-.0043092
44019,-.1297795
44027,-.0048081
44028,-.0772154
45001,-.0573167
45002,-.0573167
45009,-.0573167
45010,-.0573167
45011,-.0573167
45012,-.0201704
45016,-.0639482
45019,-.022875
51002,-.0573167
51006,-.0573167
51009,-.0573167
51011,-.0573167
51022,-.0573167
51027,-.0573167
51030,-.0573167
57001,-.0573167
57003,-.0573167
57004,-.0573167
57005,-.0573167
57006,-.0573167
57007,-.0573167
57008,-.0573167
57009,-.0573167
57010,-.0573167
66001,-.0573167
66002,-.0573167
66003,-.0573167
66004,-.0573167
66006,-.0573167
66009,-.0573167
66010,-.0573167
74003,-.1373646
74007,.0823336
74008,-.0369529
74013,-.0746749
74015,-.0335761
74016,.0453722
74019,.0934829
74026,.0134512
95002,-.0372619
95003,-.0272828
95008,-.0848501
95020,-.0313392
95025,-.0557227
95028,-.0447295
95030,.0095944
95032,-.0564831
98006,-.064583
98008,-.0510271
98009,-.0944788
98010,-.0242585
98011,-.0648253
98017,-.1269169
98018,-.01801
98026,-.1027581
99002,.0122985
99003,-.0538122
99004,-.071384
99007,-.0177207
99009,-.1247768
99011,-.0573685
99012,-.0532957
99013,-.0315376
100001,-.0711881
100003,-.0573167
100006,-.1413269
100007,-.1144752
100011,-.0394343
100016,-.0539882
100017,-.0490593
102002,-.0573167
102003,-.0573167
102005,-.0573167
102007,-.0573167
102013,-.0573167
102016,-.0573167
102017,-.0573167
102018,-.0573167
103002,-.0227789
103003,-.0808034
103007,-.0863275
103010,-.0285217
103012,-.1311812
103013,-.0760147
103016,-.0313603
103022,-.0456955
109001,-.0573167
109005,-.0573167
109006,-.0573167
109007,-.0573167
109011,-.0573167
109014,-.0573167
109018,-.0573167
109025,-.0573167
111001,-.0573167
111002,-.0573167
111004,-.0573167
111006,-.0573167
111009,-.0573167
111011,-.0573167
111012,-.0573167
111016,-.0573167
112006,-.0597224
112009,-.0573167
112012,-.0829026
112016,-.052288
112030,-.0573167
112031,-.0573167
112037,-.0031171
112040,-.1322995
114002,-.0573167
114003,-.0573167
114006,-.0573167
114007,-.0573167
114010,-.0573167
114012,-.0573167
114015,-.0573167
114016,-.0573167
117003,-.0573167
117009,-.0573167
117012,-.0573167
117015,-.0573167
117020,-.0573167
117026,-.0573167
117028,-.0573167
117029,-.0573167
121004,-.0573167
121007,-.0573167
121008,-.0573167
121009,-.0573167
121013,-.0573167
121018,-.0573167
121021,-.0573167
122001,-.0573167
122003,-.0573167
122009,-.0573167
122012,-.0573167
122018,-.0573167
122021,-.0573167
122027,-.0573167
122031,-.0573167
123001,-.1617732
123005,-.0737971
123006,.0064612
123008,-.0778642
123015,-.1163033
123025,-.007172
123026,.0377164
123028,-.0038686
126001,-.0573167
126003,-.0573167
126006,-.0573167
126008,-.0573167
126009,-.0573167
126010,-.0573167
126011,-.0573167
126014,-.0573167
127004,-.0573167
127006,-.0573167
127007,-.0573167
127008,-.0573167
127012,-.0573167
127018,-.0573167
127020,-.0573167
128001,-.0670029
128003,-.0041739
128007,-.0456714
128008,.0565169
128010,-.0893995
128012,-.0545713
128013,.0011429
128017,-.0190777
132009,-.1006588
132014,-.0165053
132018,-.1204849
132019,-.003451
132025,-.1071803
132026,-.0274325
132029,-.133917
132030,.0204634
132031,.0367939
134004,-.0573167
134005,-.0489177
134015,.0136748
134020,-.0573167
134021,-.0624572
134029,.0024363
134039,-.0573167
134042,-.0573167
137002,-.071398
137003,-.0573167
137004,-.0573167
137006,-.1096927
137014,-.0573167
137017,-.0299861
137021,-.0573167
137025,-.0573167
148004,-.0519395
148005,-.1177491
148009,-.1329752
148011,.0126282
148012,-.0669966
148013,-.0702086
148019,-.0670942
148034,.0540199
160001,-.0573167
160003,-.0573167
160005,-.0573167
160008,-.0573167
160017,-.0573167
160018,-.0573167
160021,-.0573167
160027,-.0573167
161003,-.0258048
161018,-.0983624
161022,-.0267038
161025,-.0789358
161040,-.0210505
161049,-.1862546
161052,.0343705
161055,-.1600731
165007,-.0198518
165010,-.0705401
165013,-.0328005
165015,.010143
165021,.0035769
165022,-.0404651
165023,-.0536852
165041,-.022236
167003,-.0409916
167004,.0135526
167009,-.0474617
167013,.0004684
167014,-.0462539
167015,-.0213281
167020,.0705176
167021,-.046604
172001,-.0573167
172008,-.0573167
172012,-.0573167
172017,-.0573167
172018,-.0573167
172019,-.0573167
172022,-.0573167
172031,-.0573167
180001,-.0573167
180002,-.0587082
180003,-.0573167
180004,-.0556209
180006,-.0332132
180007,-.054896
180009,-.0573167
180012,-.0573167
182001,-.0847719
182005,-.0710305
182006,-.0126509
182008,-.0867538
182025,-.0559494
182028,-.1486296
182030,-.0591154
182047,-.0544399
184003,-.0421636
184019,.0072483
184021,-.0992546
184024,-.0296135
184025,-.0534028
184035,-.0573167
184040,-.0703059
184049,-.0349928
201001,-.0573167
201004,-.0573167
201005,-.0573167
201006,-.0573167
201008,-.0573167
201009,-.0573167
201011,-.0573167
201012,-.0573167
215002,-.0573167
215005,-.0573167
215006,-.0573167
215008,-.0573167
215015,-.0573167
215017,-.0573167
215018,-.0573167
215025,-.0573167
217001,-.0573167
217003,-.0573167
217006,-.0573167
217012,-.0573167
217015,-.0573167
217016,-.0573167
217019,-.0573167
217023,-.0573167
219012,-.0873975
219022,-.0832527
219024,-.042733
219033,-.0527375
219038,-.0714291
219046,-.0795273
219048,-.0573167
219054,-.0894454
220002,-.0857143
220010,.0248348
220013,-.0361298
220019,.0133737
220022,-.0302276
220023,-.0586394
220029,-.0789272
220031,-.0017862
227008,-.0240919
227013,-.0684783
227016,-.0573167
227017,-.0573167
227019,-.0573167
227026,-.0573167
227031,-.0463847
227035,-.0573167
229004,-.0573167
229008,-.0573167
229012,-.0573167
229024,-.0573167
229025,-.0573167
229027,-.0573167
229031,-.0573167
229032,-.0573167
231002,-.0573167
231006,-.1101511
231011,-.0573167
231013,-.0690574
231032,-.0573167
231035,-.057216
231036,-.0573167
231037,-.0781246
232010,.0227433
232011,.0736684
232013,-.1045767
232017,-.0002178
232036,-.0249658
232041,-.0564512
232049,-.0205069
232057,-.0573167
243001,-.0573167
243002,-.0573167
243003,-.0573167
243008,-.0573167
243011,-.0573167
243015,-.0573167
243016,-.0573167
243022,-.0573167
249001,.0041485
249002,-.1137669
249003,-.094332
249004,-.0665308
249005,-.0634505
249007,-.0352336
249008,-.0375886
249009,-.0326243
253002,-.0539707
253003,-.0011765
253004,-.0573167
253007,-.0586757
253015,.0299119
253017,-.0315376
253021,-.0354122
253028,-.0060449
286005,-.0573167
286007,-.0573167
286015,-.0573167
286026,-.0573167
286028,-.0573167
286029,-.0573167
286034,-.0573167
286041,-.0573167
286044,-.0573167
287001,-.0573167
287005,-.0573167
287006,-.0573167
287013,-.0573167
287014,-.0573167
287017,-.0573167
287023,-.0573167
287026,-.0573167
294005,-.017395
294011,-.0128197
294013,-.0309667
294018,-.0542866
294019,-.0752869
294022,.0540945
294048,-.0518891
294051,-.0971808
299014,-.0880321
299016,-.0100387
299017,-.0615106
299033,-.0127708
299045,-.0360889
299047,-.0147767
299048,-.0573167
299058,.0123661
500011,-.0229377
500012,.0680857
500016,-.0573167
500018,-.0573167
500019,-.0432786
500022,-.0573167
500023,-.0573167
500024,-.0573167
502003,-.029232
502004,-.0379716
502006,-.084481
502011,-.0123525
502012,-.0905131
502013,-.0965216
502015,-.0193809
502033,-.0480434
508002,-.1202234
508004,-.0100266
508007,-.095553
508008,-.0638794
508011,-.0733508
508013,.0064505
508017,-.0577366
508027,-.0447049
510007,-.0605584
510010,.026524
510011,.0429898
510012,-.0360391
510023,-.1132842
510025,-.0354979
510026,-.058138
510029,.0137419
513001,-.0573167
513003,.0092254
513005,-.0573167
513007,-.0573167
513014,-.0573167
513017,-.0815416
513019,-.0052894
513021,-.0455663
516009,-.0573167
516011,-.0573167
516014,-.0573167
516015,-.0573167
516018,-.0573167
516020,-.0573167
516023,-.0573167
516026,-.0573167
517005,-.0450245
517010,-.0157391
517013,-.0573167
517024,-.0573167
517038,-.0573167
517041,-.1114249
517044,.0168287
517047,-.0729606
519006,-.0573167
519008,-.0573167
519009,-.0286479
519013,-.0515664
519022,-.0525984
519027,-.0471199
519035,-.0103057
519038,-.0714084
524002,-.0573167
524004,-.0573167
524005,-.0573167
524008,-.0573167
524010,-.0573167
524011,-.0573167
524014,-.0573167
524023,-.0573167
526001,-.0423848
526002,-.145918
526011,-.1312074
526021,-.064662
526022,-.0278122
526023,.1038613
526025,-.0171707
526035,-.0313603
529001,-.0528584
529006,-.037561
529010,-.0462922
529011,-.0591762
529016,.0175435
529020,-.1208165
529023,.073434
529024,-.0267447
531002,-.0573167
531005,-.0573167
531013,-.0573167
531020,-.0573167
531026,-.0573167
531029,-.0573167
531032,-.0573167
532002,-.0887671
532009,-.0017594
532010,-.1072644
532011,-.0519057
532017,-.0062432
532020,-.0157215
532024,.022123
537001,-.1311807
537005,-.027768
537006,-.0510577
537007,.0310748
537009,-.0625875
537012,-.0411909
537019,.0129486
537026,-.0214265
538002,-.0473756
538008,-.0573167
538010,-.1090433
538020,-.020825
538022,-.0922681
538023,-.0573167
538032,-.0573167
538038,-.0573167
550001,-.0573167
550002,-.0573167
550006,-.0573167
550007,-.0573167
550011,-.0573167
550013,-.0573167
550014,-.0573167
550015,-.0573167
