subject,WTP
3001,9.732821
3004,-.8854015
3008,51.65285
3009,11.24692
3010,38.60031
3011,49.8761
3014,22.96172
3015,38.45165
4003,95.5864
4006,-8.767699
4010,-7.249428
4011,4.234803
4013,-19.12985
4016,8.441344
4022,30.73754
4024,5.581458
11006,11.24692
11008,11.24692
11009,11.24692
11010,11.24692
11012,11.24692
11016,11.24692
11022,11.24692
11032,11.24692
11034,11.24692
12001,5.354532
12002,74.35532
12014,51.95132
12029,30.43548
12036,-15.04861
12037,13.08409
12041,42.05603
12054,7.73775
13001,-187.9686
13003,17.98619
13004,24.97044
13007,-1.499588
13010,62.75398
13012,-49.11191
13013,-14.15881
13019,-63.80661
15005,79.92971
15012,98.98746
15016,.7550237
15023,53.85878
15024,14.30196
15026,40.6269
15027,7.125277
15030,11.24692
23003,16.00184
23007,59.33029
23016,11.65494
23027,-9.792128
23031,14.5251
23035,11.24692
23036,3.114401
23039,53.40592
27001,33.71603
27003,33.02504
27006,-39.6904
27009,4.456226
27011,73.41199
27029,43.69518
27030,42.34358
27039,26.27726
31001,11.24692
31002,11.24692
31003,11.24692
31004,65.13347
31005,11.24692
31009,28.82416
31012,-5.554389
31014,11.24692
36002,18.82452
36011,-34.03011
36013,81.259
36018,14.29319
36021,5.49149
36040,-12.99039
36046,9.736796
36053,5.457683
38001,11.24692
38002,11.24692
38003,11.24692
38005,11.24692
38006,11.24692
38007,11.24692
38010,11.24692
38013,11.24692
39004,17.63748
39006,38.26649
39007,15.8385
39011,11.24692
39012,-5.099991
39013,31.98944
39018,29.99285
39023,39.32071
40001,11.24692
40003,11.24692
40004,11.24692
40005,11.24692
40006,11.24692
40008,11.24692
40009,11.24692
40011,11.24692
42001,12.68036
42007,27.3413
42008,1.919196
42010,-37.1678
42011,-107.5968
42012,11.24692
42013,-7.61548
42018,3.004559
42025,-19.63634
44003,-12.28264
44006,16.01073
44007,-22.09217
44008,61.02129
44013,66.191
44019,19.60871
44027,18.93041
44028,-20.10869
45001,11.24692
45002,11.24692
45009,11.24692
45010,11.24692
45011,11.24692
45012,21.83724
45016,-188.4726
45019,113.5209
51002,11.24692
51006,11.24692
51009,11.24692
51011,11.24692
51022,11.24692
51027,11.24692
51030,11.24692
57001,11.24692
57003,11.24692
57004,11.24692
57005,11.24692
57006,11.24692
57007,11.24692
57008,11.24692
57009,11.24692
57010,11.24692
66001,11.24692
66002,11.24692
66003,11.24692
66004,11.24692
66006,11.24692
66009,11.24692
66010,11.24692
74003,43.61943
74007,132.31
74008,42.74236
74013,41.87465
74015,-127.441
74016,7.59938
74019,-18.92938
74026,25.31766
95002,13.27348
95003,-39.06758
95008,-31.33613
95020,-14.55902
95025,-36.61993
95028,4.921314
95030,-24.68624
95032,295.4173
98006,67.40356
98008,8.082812
98009,3.719211
98010,25.18543
98011,70.01749
98017,68.38665
98018,55.41328
98026,31.90965
99002,43.15115
99003,34.00736
99004,68.80013
99007,-6.687607
99009,62.60103
99011,62.43407
99012,-42.56608
99013,30.83569
100001,-22.67448
100003,11.24692
100006,30.58878
100007,3.996151
100011,-62.40705
100016,-30.8533
100017,27.39942
102002,11.24692
102003,11.24692
102005,11.24692
102007,11.24692
102013,11.24692
102016,11.24692
102017,11.24692
102018,11.24692
103002,84.47673
103003,76.02328
103007,9.116993
103010,36.47168
103012,-17.17316
103013,14.07751
103016,-5.135721
103022,-15.27709
109001,11.24692
109005,11.24692
109006,11.24692
109007,11.24692
109011,11.24692
109014,11.24692
109018,11.24692
109025,11.24692
111001,11.24692
111002,11.24692
111004,11.24692
111006,11.24692
111009,11.24692
111011,11.24692
111012,11.24692
111016,11.24692
112006,7.623632
112009,11.24692
112012,6.23054
112016,6.766476
112030,11.24692
112031,11.24692
112037,33.75315
112040,19.64666
114002,11.24692
114003,11.24692
114006,11.24692
114007,11.24692
114010,11.24692
114012,11.24692
114015,11.24692
114016,11.24692
117003,11.24692
117009,11.24692
117012,11.24692
117015,11.24692
117020,11.24692
117026,11.24692
117028,11.24692
117029,11.24692
121004,11.24692
121007,11.24692
121008,11.24692
121009,11.24692
121013,11.24692
121018,11.24692
121021,11.24692
122001,11.24692
122003,11.24692
122009,11.24692
122012,11.24692
122018,11.24692
122021,11.24692
122027,11.24692
122031,11.24692
123001,74.87514
123005,-33.03811
123006,40.47921
123008,33.12164
123015,-30.0948
123025,63.75157
123026,38.91758
123028,18.24743
126001,11.24692
126003,11.24692
126006,11.24692
126008,11.24692
126009,11.24692
126010,11.24692
126011,11.24692
126014,11.24692
127004,11.24692
127006,11.24692
127007,11.24692
127008,11.24692
127012,11.24692
127018,11.24692
127020,11.24692
128001,63.43456
128003,37.94023
128007,82.0858
128008,-1.830706
128010,102.4341
128012,50.96154
128013,14.48033
128017,9.565411
132009,31.65565
132014,31.48655
132018,-48.6686
132019,32.57637
132025,53.62841
132026,6.997146
132029,55.57456
132030,12.32457
132031,-50.1905
134004,11.24692
134005,117.2024
134015,41.39968
134020,11.24692
134021,-15.0992
134029,39.10639
134039,11.24692
134042,11.24692
137002,-6.32199
137003,11.24692
137004,11.24692
137006,33.75312
137014,11.24692
137017,12.94315
137021,11.24692
137025,11.24692
148004,50.69026
148005,95.81835
148009,22.31051
148011,36.26403
148012,16.44408
148013,-14.34878
148019,-51.37326
148034,17.13697
160001,11.24692
160003,11.24692
160005,11.24692
160008,11.24692
160017,11.24692
160018,11.24692
160021,11.24692
160027,11.24692
161003,33.11179
161018,199.862
161022,55.30624
161025,15.71492
161040,29.85648
161049,37.85752
161052,43.74002
161055,51.54261
165007,29.2307
165010,70.13249
165013,38.57145
165015,49.74063
165021,-34.69746
165022,19.70434
165023,10.93474
165041,-4.352864
167003,25.2987
167004,91.59666
167009,-45.37058
167013,64.7457
167014,3.822382
167015,67.0756
167020,-21.1081
167021,8.884852
172001,11.24692
172008,11.24692
172012,11.24692
172017,11.24692
172018,11.24692
172019,11.24692
172022,11.24692
172031,11.24692
180001,11.24692
180002,1.257295
180003,11.24692
180004,125.3763
180006,27.44591
180007,69.65955
180009,11.24692
180012,11.24692
182001,-2.346812
182005,-93.36959
182006,-15.977
182008,19.71242
182025,41.8996
182028,-41.43729
182030,64.39463
182047,-65.40003
184003,7.949623
184019,-18.86354
184021,10.95978
184024,45.37153
184025,173.6659
184035,11.24692
184040,-2.028203
184049,7.380097
201001,11.24692
201004,11.24692
201005,11.24692
201006,11.24692
201008,11.24692
201009,11.24692
201011,11.24692
201012,11.24692
215002,11.24692
215005,11.24692
215006,11.24692
215008,11.24692
215015,11.24692
215017,11.24692
215018,11.24692
215025,11.24692
217001,11.24692
217003,11.24692
217006,11.24692
217012,11.24692
217015,11.24692
217016,11.24692
217019,11.24692
217023,11.24692
219012,-9.502993
219022,20.20587
219024,36.19857
219033,40.87574
219038,8.087536
219046,-5.556743
219048,11.24692
219054,40.16488
220002,-14.01368
220010,22.0386
220013,13.23083
220019,35.46931
220022,108.02
220023,-15.385
220029,-9.609001
220031,28.11406
227008,60.89301
227013,25.72514
227016,11.24692
227017,11.24692
227019,11.24692
227026,11.24692
227031,282.5623
227035,11.24692
229004,11.24692
229008,11.24692
229012,11.24692
229024,11.24692
229025,11.24692
229027,11.24692
229031,11.24692
229032,11.24692
231002,11.24692
231006,10.38323
231011,11.24692
231013,10.74166
231032,11.24692
231035,40.53188
231036,11.24692
231037,35.63299
232010,56.08143
