subject,PTE
3001,-.0380468
3004,-.0090305
3008,.0282334
3009,-.0581566
3010,-.1127522
3011,-.098842
3014,-.0379439
3015,-.0379617
4003,-.0280075
4006,-.0359085
4010,-.0107034
4011,-.1300363
4013,-.0286367
4016,-.0469631
4022,-.0219375
4024,-.0874005
11006,-.0581566
11008,-.0581566
11009,-.0581566
11010,-.0581566
11012,-.0581566
11016,-.0581566
11022,-.0581566
11032,-.0581566
11034,-.0581566
12001,-.052669
12002,-.066838
12014,-.0574739
12029,-.030513
12036,-.063012
12037,-.0842791
12041,-.0497428
12054,-.0412886
13001,.0714451
13003,-.0783466
13004,-.142555
13007,.0014748
13010,-.0574504
13012,-.0476708
13013,-.053988
13019,-.0240857
15005,-.0473044
15012,-.0717151
15016,-.0250667
15023,-.1736758
15024,-.0927136
15026,-.0081066
15027,-.0282779
15030,-.0581566
23003,-.0499344
23007,-.0546591
23016,-.0290329
23027,-.0803239
23031,-.1019205
23035,-.0581566
23036,-.0455268
23039,-.0620226
27001,-.0620515
27003,-.1485534
27006,.0512774
27009,.0531937
27011,-.0610256
27029,-.0148322
27030,-.0168514
27039,-.1482206
31001,-.0581566
31002,-.0581566
31003,-.0581566
31004,-.0414858
31005,-.0581566
31009,-.1040978
31012,-.1463559
31014,-.0581566
36002,-.1355795
36011,-.0007415
36013,.0122917
36018,-.0161793
36021,-.0603436
36040,-.0857857
36046,-.0423688
36053,-.09419
38001,-.0581566
38002,-.0581566
38003,-.0581566
38005,-.0581566
38006,-.0581566
38007,-.0581566
38010,-.0581566
38013,-.0581566
39004,-.0248551
39006,-.0896897
39007,-.0873077
39011,-.0581566
39012,-.0278994
39013,-.0279754
39018,-.0821239
39023,-.0092172
40001,-.0581566
40003,-.0581566
40004,-.0581566
40005,-.0581566
40006,-.0581566
40008,-.0581566
40009,-.0581566
40011,-.0581566
42001,-.0986174
42007,-.1253736
42008,-.0373579
42010,-.0380872
42011,-.0822535
42012,-.0581566
42013,.0040824
42018,-.0861035
42025,-.0583023
44003,-.0434286
44006,-.046881
44007,-.0544909
44008,.011556
44013,-.0151193
44019,-.0400086
44027,-.0701242
44028,.0359783
45001,-.0581566
45002,-.0581566
45009,-.0581566
45010,-.0581566
45011,-.0581566
45012,-.0497845
45016,.0028519
45019,-.0235758
51002,-.0581566
51006,-.0581566
51009,-.0581566
51011,-.0581566
51022,-.0581566
51027,-.0581566
51030,-.0581566
57001,-.0581566
57003,-.0581566
57004,-.0581566
57005,-.0581566
57006,-.0581566
57007,-.0581566
57008,-.0581566
57009,-.0581566
57010,-.0581566
66001,-.0581566
66002,-.0581566
66003,-.0581566
66004,-.0581566
66006,-.0581566
66009,-.0581566
66010,-.0581566
74003,-.060107
74007,-.0069864
74008,-.0394715
74013,-.0978221
74015,-.02779
74016,-.0305251
74019,-.0195044
74026,-.034922
95002,-.0900051
95003,-.0657388
95008,.0148477
95020,-.0273307
95025,-.0459822
95028,-.0207577
95030,.0106649
95032,-.099665
98006,-.0345576
98008,-.0938686
98009,-.080503
98010,-.0003435
98011,-.0523099
98017,-.0633382
98018,-.0322614
98026,-.0391099
99002,-.0097778
99003,.0081689
99004,-.0387232
99007,-.0129145
99009,-.0095456
99011,-.0693167
99012,.0364174
99013,-.0365998
100001,-.1331182
100003,-.0581566
100006,-.0386456
100007,-.023499
100011,-.0014429
100016,-.0184585
100017,-.0850049
102002,-.0581566
102003,-.0581566
102005,-.0581566
102007,-.0581566
102013,-.0581566
102016,-.0581566
102017,-.0581566
102018,-.0581566
103002,-.04171
103003,-.0975989
103007,-.0570822
103010,-.10416
103012,-.0877021
103013,-.0467912
103016,-.0971318
103022,-.0157741
109001,-.0581566
109005,-.0581566
109006,-.0581566
109007,-.0581566
109011,-.0581566
109014,-.0581566
109018,-.0581566
109025,-.0581566
111001,-.0581566
111002,-.0581566
111004,-.0581566
111006,-.0581566
111009,-.0581566
111011,-.0581566
111012,-.0581566
111016,-.0581566
112006,-.0353458
112009,-.0581566
112012,-.0587669
112016,-.0278862
112030,-.0581566
112031,-.0581566
112037,-.0586104
112040,-.0044255
114002,-.0581566
114003,-.0581566
114006,-.0581566
114007,-.0581566
114010,-.0581566
114012,-.0581566
114015,-.0581566
114016,-.0581566
117003,-.0581566
117009,-.0581566
117012,-.0581566
117015,-.0581566
