subject,WTP
3001,62.78345
3004,44.24264
3008,1.371063
3009,54.63775
3010,143.9153
3011,32.99482
3014,1.944819
3015,-81.69743
4003,71.06903
4006,-5.079625
4010,4.883679
4011,36.3742
4013,-96.14462
4016,114.4785
4022,7.561204
4024,-45.46521
11006,54.63775
11008,54.63775
11009,54.63775
11010,54.63775
11012,54.63775
11016,54.63775
11022,54.63775
11032,54.63775
11034,54.63775
12001,14.8527
12002,-.0005536
12014,-15.62468
12029,4.055417
12036,-4.302275
12037,21.81206
12041,12.98933
12054,25.38004
13001,18.70269
13003,-23.73399
13004,32.60004
13007,37.4482
13010,17.52241
13012,-11.96365
13013,-17.64302
13019,52.32559
15005,5.645236
15012,80.70737
15016,-6.86034
15023,-2.077537
15024,24.71372
15026,22.0639
15027,-159.2438
15030,54.63775
23003,69.3834
23007,55.50888
23016,-27.54884
23027,6.638396
23031,114.8688
23035,54.63775
23036,-22.15266
23039,30.08429
27001,-24.78134
27003,-6.140929
27006,14.83474
27009,-70.90655
27011,25.97124
27029,14.78596
27030,53.72129
27039,-45.81221
31001,54.63775
31002,54.63775
31003,54.63775
31004,-33.9996
31005,54.63775
31009,56.76711
31012,38.30066
31014,54.63775
36002,-8.978674
36011,36.41876
36013,185.9478
36018,99.52682
36021,6.867816
36040,-33.38743
36046,277.4432
36053,66.61058
38001,54.63775
38002,54.63775
38003,54.63775
38005,54.63775
38006,54.63775
38007,54.63775
38010,54.63775
38013,54.63775
39004,-21.06873
39006,-8.169502
39007,19.53959
39011,54.63775
39012,50.57473
39013,61.4231
39018,53.90623
39023,-15.57314
40001,54.63775
40003,54.63775
40004,54.63775
40005,54.63775
40006,54.63775
40008,54.63775
40009,54.63775
40011,54.63775
42001,11.73726
42007,112.5156
42008,16.01517
42010,16.60744
42011,9.236313
42012,54.63775
42013,10.01752
42018,73.11546
42025,8.014694
44003,46.67839
44006,38.45
44007,-18.85513
44008,-21.49315
44013,13.66308
44019,-18.16865
44027,5.581892
44028,-1.330261
45001,54.63775
45002,54.63775
45009,54.63775
45010,54.63775
45011,54.63775
45012,61.73272
45016,43.06267
45019,-13.95658
51002,54.63775
51006,54.63775
51009,54.63775
51011,54.63775
51022,54.63775
51027,54.63775
51030,54.63775
57001,54.63775
57003,54.63775
57004,54.63775
57005,54.63775
57006,54.63775
57007,54.63775
57008,54.63775
57009,54.63775
57010,54.63775
66001,54.63775
66002,54.63775
66003,54.63775
66004,54.63775
66006,54.63775
66009,54.63775
66010,54.63775
74003,-139.0548
74007,10.97655
74008,-33.83342
74013,81.99918
74015,54.65581
74016,-15.39592
74019,-32.40289
74026,-19.55978
95002,59.01667
95003,-1.673774
95008,-36.70432
95020,18.63539
95025,24.33074
95028,-12.6328
95030,15.46767
95032,-14.11016
98006,43.4597
98008,60.98595
98009,80.09546
98010,46.07499
98011,-6.174146
98017,-25.99892
98018,-7.339231
98026,85.71093
99002,5.026385
99003,30.31284
99004,23.69077
99007,40.14582
99009,238.5378
99011,18.13058
99012,-17.77919
99013,-66.98168
100001,78.24683
100003,54.63775
100006,22.19156
100007,51.63006
100011,-9.001282
100016,42.02201
100017,-3.169447
102002,54.63775
102003,54.63775
102005,54.63775
102007,54.63775
102013,54.63775
102016,54.63775
102017,54.63775
102018,54.63775
103002,-281.7396
103003,-49.99738
103007,-6.813831
103010,8.714115
103012,77.14318
103013,76.21157
103016,97.56647
103022,41.68372
109001,54.63775
109005,54.63775
109006,54.63775
109007,54.63775
109011,54.63775
109014,54.63775
109018,54.63775
109025,54.63775
111001,54.63775
111002,54.63775
111004,54.63775
111006,54.63775
111009,54.63775
111011,54.63775
111012,54.63775
111016,54.63775
112006,22.52491
112009,54.63775
112012,21.27524
112016,5.09191
112030,54.63775
112031,54.63775
112037,11.82523
112040,-30.87009
114002,54.63775
114003,54.63775
114006,54.63775
114007,54.63775
114010,54.63775
114012,54.63775
114015,54.63775
114016,54.63775
117003,54.63775
117009,54.63775
117012,54.63775
117015,54.63775
117020,54.63775
117026,54.63775
117028,54.63775
117029,54.63775
121004,54.63775
121007,54.63775
121008,54.63775
121009,54.63775
121013,54.63775
121018,54.63775
121021,54.63775
122001,54.63775
122003,54.63775
122009,54.63775
122012,54.63775
122018,54.63775
122021,54.63775
122027,54.63775
122031,54.63775
123001,-9.604118
123005,42.23999
