subject,WTP
3001,6.6237321
3004,-18.247299
3008,-18.247299
3009,6.6237321
3010,-18.247299
3011,-18.247299
3014,6.6237321
3015,56.06551
4003,-18.247299
4006,-18.247299
4010,-18.247299
4011,6.6237321
4013,6.6237321
4016,56.06551
4022,-18.247299
4024,-18.247299
11006,6.6237321
11008,6.6237321
11009,6.6237321
11010,6.6237321
11012,6.6237321
11016,6.6237321
11022,6.6237321
11032,6.6237321
11034,6.6237321
12001,6.6237321
12002,6.6237321
12014,-18.247299
12029,6.6237321
12036,56.06551
12037,56.06551
12041,56.06551
12054,56.06551
13001,6.6237321
13003,-18.247299
13004,6.6237321
13007,-18.247299
13010,-18.247299
13012,56.06551
13013,56.06551
13019,56.06551
15005,56.06551
15012,56.06551
15016,6.6237321
15023,56.06551
15024,6.6237321
15026,-18.247299
15027,-18.247299
15030,6.6237321
23003,-18.247299
23007,56.06551
23016,6.6237321
23027,56.06551
23031,6.6237321
23035,6.6237321
23036,56.06551
23039,6.6237321
27001,-18.247299
27003,-18.247299
27006,-18.247299
27009,-18.247299
27011,-18.247299
27029,-18.247299
27030,56.06551
27039,-18.247299
31001,6.6237321
31002,6.6237321
31003,6.6237321
31004,56.06551
31005,6.6237321
31009,56.06551
31012,-18.247299
31014,6.6237321
36002,56.06551
36011,-18.247299
36013,-18.247299
36018,56.06551
36021,56.06551
36040,-18.247299
36046,-18.247299
36053,-18.247299
38001,6.6237321
38002,6.6237321
38003,6.6237321
38005,6.6237321
38006,6.6237321
38007,6.6237321
38010,6.6237321
38013,6.6237321
39004,56.06551
39006,56.06551
39007,56.06551
39011,6.6237321
39012,-18.247299
39013,6.6237321
39018,56.06551
39023,-18.247299
40001,6.6237321
40003,6.6237321
40004,6.6237321
40005,6.6237321
40006,6.6237321
40008,6.6237321
40009,6.6237321
40011,6.6237321
42001,-18.247299
42007,56.06551
42008,56.06551
42010,-18.247299
42011,-18.247299
42012,6.6237321
42013,56.06551
42018,-18.247299
42025,56.06551
44003,56.06551
44006,-18.247299
44007,-18.247299
44008,-18.247299
44013,-18.247299
44019,-18.247299
44027,-18.247299
44028,6.6237321
45001,6.6237321
45002,6.6237321
45009,6.6237321
45010,6.6237321
45011,6.6237321
45012,56.06551
45016,56.06551
45019,6.6237321
51002,6.6237321
51006,6.6237321
51009,6.6237321
51011,6.6237321
51022,6.6237321
51027,6.6237321
51030,6.6237321
57001,6.6237321
57003,6.6237321
57004,6.6237321
57005,6.6237321
57006,6.6237321
57007,6.6237321
57008,6.6237321
57009,6.6237321
57010,6.6237321
66001,6.6237321
66002,6.6237321
66003,6.6237321
66004,6.6237321
66006,6.6237321
66009,6.6237321
66010,6.6237321
74003,56.06551
74007,-18.247299
74008,56.06551
74013,56.06551
74015,6.6237321
74016,56.06551
74019,56.06551
74026,-18.247299
95002,-18.247299
95003,-18.247299
95008,6.6237321
95020,56.06551
95025,-18.247299
95028,56.06551
95030,-18.247299
95032,6.6237321
98006,-18.247299
98008,56.06551
98009,-18.247299
98010,-18.247299
98011,6.6237321
98017,56.06551
98018,56.06551
98026,6.6237321
99002,56.06551
99003,56.06551
99004,-18.247299
99007,-18.247299
99009,56.06551
99011,56.06551
99012,56.06551
99013,-18.247299
100001,6.6237321
100003,6.6237321
100006,56.06551
100007,56.06551
100011,56.06551
100016,-18.247299
100017,6.6237321
102002,6.6237321
102003,6.6237321
102005,6.6237321
102007,6.6237321
102013,6.6237321
102016,6.6237321
102017,6.6237321
102018,6.6237321
103002,-18.247299
103003,6.6237321
103007,56.06551
103010,-18.247299
103012,-18.247299
103013,56.06551
103016,56.06551
103022,56.06551
109001,6.6237321
109005,6.6237321
109006,6.6237321
109007,6.6237321
109011,6.6237321
109014,6.6237321
109018,6.6237321
109025,6.6237321
111001,6.6237321
111002,6.6237321
111004,6.6237321
111006,6.6237321
111009,6.6237321
111011,6.6237321
111012,6.6237321
111016,6.6237321
112006,6.6237321
112009,6.6237321
112012,6.6237321
112016,56.06551
112030,6.6237321
112031,6.6237321
112037,6.6237321
112040,-18.247299
114002,6.6237321
114003,6.6237321
114006,6.6237321
114007,6.6237321
114010,6.6237321
114012,6.6237321
114015,6.6237321
114016,6.6237321
117003,6.6237321
117009,6.6237321
117012,6.6237321
117015,6.6237321
117020,6.6237321
117026,6.6237321
117028,6.6237321
117029,6.6237321
121004,6.6237321
121007,6.6237321
121008,6.6237321
121009,6.6237321
121013,6.6237321
121018,6.6237321
121021,6.6237321
122001,6.6237321
122003,6.6237321
122009,6.6237321
122012,6.6237321
122018,6.6237321
122021,6.6237321
122027,6.6237321
122031,6.6237321
123001,6.6237321
123005,-18.247299
123006,-18.247299
123008,56.06551
123015,6.6237321
123025,-18.247299
123026,56.06551
123028,56.06551
126001,6.6237321
126003,6.6237321
126006,6.6237321
126008,6.6237321
126009,6.6237321
126010,6.6237321
126011,6.6237321
126014,6.6237321
127004,6.6237321
127006,6.6237321
127007,6.6237321
127008,6.6237321
127012,6.6237321
127018,6.6237321
127020,6.6237321
128001,56.06551
128003,-18.247299
128007,6.6237321
128008,-18.247299
128010,-18.247299
128012,-18.247299
128013,56.06551
128017,56.06551
132009,56.06551
132014,56.06551
132018,56.06551
132019,-18.247299
132025,56.06551
132026,-18.247299
132029,56.06551
132030,56.06551
132031,-18.247299
134004,6.6237321
134005,56.06551
134015,-18.247299
134020,6.6237321
134021,-18.247299
134029,6.6237321
134039,6.6237321
134042,6.6237321
137002,-18.247299
137003,6.6237321
137004,6.6237321
137006,56.06551
137014,6.6237321
137017,56.06551
137021,6.6237321
137025,6.6237321
148004,6.6237321
148005,6.6237321
148009,6.6237321
148011,6.6237321
148012,56.06551
148013,-18.247299
148019,56.06551
148034,56.06551
160001,6.6237321
160003,6.6237321
160005,6.6237321
160008,6.6237321
160017,6.6237321
160018,6.6237321
160021,6.6237321
160027,6.6237321
161003,-18.247299
161018,56.06551
161022,-18.247299
161025,-18.247299
161040,56.06551
161049,-18.247299
161052,6.6237321
161055,56.06551
165007,-18.247299
165010,6.6237321
165013,56.06551
165015,-18.247299
165021,56.06551
165022,-18.247299
165023,56.06551
165041,56.06551
167003,56.06551
167004,56.06551
167009,-18.247299
167013,-18.247299
167014,56.06551
167015,56.06551
167020,-18.247299
167021,-18.247299
172001,6.6237321
172008,6.6237321
172012,6.6237321
172017,6.6237321
172018,6.6237321
172019,6.6237321
172022,6.6237321
172031,6.6237321
180001,6.6237321
180002,56.06551
180003,6.6237321
180004,-18.247299
180006,56.06551
180007,-18.247299
180009,6.6237321
180012,6.6237321
182001,-18.247299
182005,-18.247299
182006,56.06551
182008,56.06551
182025,56.06551
182028,-18.247299
182030,56.06551
182047,-18.247299
184003,56.06551
184019,56.06551
184021,6.6237321
184024,-18.247299
184025,56.06551
184035,6.6237321
184040,6.6237321
184049,-18.247299
201001,6.6237321
201004,6.6237321
201005,6.6237321
201006,6.6237321
201008,6.6237321
201009,6.6237321
201011,6.6237321
201012,6.6237321
215002,6.6237321
215005,6.6237321
215006,6.6237321
215008,6.6237321
215015,6.6237321
215017,6.6237321
215018,6.6237321
215025,6.6237321
217001,6.6237321
217003,6.6237321
217006,6.6237321
217012,6.6237321
217015,6.6237321
217016,6.6237321
217019,6.6237321
217023,6.6237321
219012,6.6237321
219022,56.06551
219024,56.06551
219033,-18.247299
219038,-18.247299
219046,-18.247299
219048,6.6237321
219054,6.6237321
220002,56.06551
220010,6.6237321
220013,6.6237321
220019,56.06551
220022,-18.247299
220023,6.6237321
220029,-18.247299
220031,56.06551
227008,6.6237321
227013,56.06551
227016,6.6237321
227017,6.6237321
227019,6.6237321
227026,6.6237321
227031,56.06551
227035,6.6237321
229004,6.6237321
229008,6.6237321
229012,6.6237321
229024,6.6237321
229025,6.6237321
229027,6.6237321
229031,6.6237321
229032,6.6237321
231002,6.6237321
231006,56.06551
231011,6.6237321
231013,6.6237321
231032,6.6237321
231035,6.6237321
231036,6.6237321
231037,6.6237321
232010,6.6237321
232011,-18.247299
232013,-18.247299
232017,56.06551
232036,56.06551
232041,-18.247299
232049,-18.247299
232057,6.6237321
243001,6.6237321
243002,6.6237321
243003,6.6237321
243008,6.6237321
243011,6.6237321
243015,6.6237321
243016,6.6237321
